,Season_fc_Race_ID,Season,Date,Date_Start,Date_End,fc_Race_ID,fc_Race_Name,Category,Gender,fc_Race_Location_Code,fc_Race_Winner_Rider_ID,Race_Winner_Name
221,2023_20782,2023,10.05,2023/05/10,2023/05/10,20782,The Tour Oqtosh - Chorvoq - Mountain I,1.2,Men,UZB,0,Future Race
222,2023_20774,2023,10.05,2023/05/10,2023/05/10,20774,The Tour Oqtosh - Chorvoq - Mountain Ladies I,1.2,Women,UZB,0,Future Race
223,2023_12195,2023,10.05,2023/05/10,2023/05/10,12195,Navarra Elite Classics,1.Pro,Women,ESP,0,Future Race
224,2023_765,2023,10.05-14.05,2023/05/10,2023/05/14,765,Tour de Hongrie,2.Pro,Men,HUN,0,Future Race
225,2023_20783,2023,11.05,2023/05/11,2023/05/11,20783,The Tour Oqtosh - Chorvoq - Mountain II,1.2,Men,UZB,0,Future Race
226,2023_20775,2023,11.05,2023/05/11,2023/05/11,20775,The Tour Oqtosh - Chorvoq - Mountain Ladies II,1.2,Women,UZB,0,Future Race
227,2023_17336,2023,11.05-14.05,2023/05/11,2023/05/14,17336,Vuelta a Formosa Internacional,2.2,Men,ARG,0,Future Race
228,2023_14244,2023,12.05-14.05,2023/05/12,2023/05/14,14244,Itzulia Women,2.WWT,Women,ESP,0,Future Race
229,2023_147,2023,13.05,2023/05/13,2023/05/13,147,Tour du Finistère,1.1,Men,FRA,0,Future Race
230,2023_72,2023,13.05,2023/05/13,2023/05/13,72,GP Herning,1.2,Men,DEN,0,Future Race
231,2023_19320,2023,13.05,2023/05/13,2023/05/13,19320,Tour of Bostonliq I,1.2,Men,UZB,0,Future Race
232,2023_19317,2023,13.05,2023/05/13,2023/05/13,19317,Tour of Bostonliq I Ladies,1.2,Women,UZB,0,Future Race
233,2023_182,2023,14.05,2023/05/14,2023/05/14,182,Boucles de l'Aulne,1.1,Men,FRA,0,Future Race
234,2023_736,2023,14.05,2023/05/14,2023/05/14,736,Fyen Rundt,1.2,Men,DEN,0,Future Race
235,2023_19321,2023,14.05,2023/05/14,2023/05/14,19321,Tour of Bostonliq II,1.2,Men,UZB,0,Future Race
236,2023_19318,2023,14.05,2023/05/14,2023/05/14,19318,Tour of Bostonliq II Ladies,1.2,Women,UZB,0,Future Race
237,2023_313,2023,14.05,2023/05/14,2023/05/14,313,GP Marmo,1.2U,Men,ITA,0,Future Race
238,2023_9600,2023,16.05,2023/05/16,2023/05/16,9600,Durango-Durango,1.1,Women,ESP,0,Future Race
239,2023_175,2023,16.05-21.05,2023/05/16,2023/05/21,175,4 Jours de Dunkerque,2.Pro,Men,FRA,0,Future Race
240,2023_67,2023,17.05-21.05,2023/05/17,2023/05/21,67,Flèche du Sud,2.2,Men,LUX,0,Future Race
241,2023_16532,2023,17.05-20.05,2023/05/17,2023/05/20,16532,Tour of Sakarya,2.2,Men,TUR,0,Future Race
242,2023_537,2023,18.05,2023/05/18,2023/05/18,537,Circuit de Wallonie,1.1,Men,BEL,0,Future Race
243,2023_919,2023,18.05-21.05,2023/05/18,2023/05/21,919,Joe Martin Stage Race,2.2,Men,USA,0,Future Race
244,2023_9427,2023,18.05-21.05,2023/05/18,2023/05/21,9427,Joe Martin Stage Race,2.2,Women,USA,0,Future Race
245,2023_10428,2023,18.05-21.05,2023/05/18,2023/05/21,10428,Vuelta a Burgos Feminas,2.WWT,Women,ESP,0,Future Race
246,2023_9907,2023,19.05,2023/05/19,2023/05/19,9907,Veenendaal-Veenendaal,1.1,Women,NED,0,Future Race
247,2023_50,2023,20.05,2023/05/20,2023/05/20,50,Veenendaal Classic,1.1,Men,NED,0,Future Race
248,2023_16507,2023,20.05,2023/05/20,2023/05/20,16507,ZLM Omloop der Kempen Ladies,1.2,Women,NED,0,Future Race
249,2023_10204,2023,21.05,2023/05/21,2023/05/21,10204,Antwerp Port Epic,1.1,Men,BEL,0,Future Race
250,2023_144,2023,21.05,2023/05/21,2023/05/21,144,Rund um Köln,1.1,Men,GER,0,Future Race
251,2023_18930,2023,21.05,2023/05/21,2023/05/21,18930,Antwerp Port Epic Ladies,1.1,Women,BEL,0,Future Race
252,2023_16530,2023,21.05,2023/05/21,2023/05/21,16530,GP Gorenjska,1.2,Men,SLO,0,Future Race
253,2023_341,2023,21.05-28.05,2023/05/21,2023/05/28,341,Tour of Japan,2.1,Men,JPN,0,Future Race
254,2023_7657,2023,22.05-26.05,2023/05/22,2023/05/26,7657,Tour of Albania,2.2,Men,ALB,0,Future Race
255,2023_9810,2023,23.05-28.05,2023/05/23,2023/05/28,9810,Thüringen Ladies Tour,2.Pro,Women,GER,0,Future Race
256,2023_315,2023,24.05-28.05,2023/05/24,2023/05/28,315,Alpes Isère Tour,2.2,Men,FRA,0,Future Race
257,2023_10674,2023,24.05-28.05,2023/05/24,2023/05/28,10674,Orlen Nations Grand Prix,2.NC,Men,POL,0,Future Race
258,2023_250,2023,25.05-27.05,2023/05/25,2023/05/27,250,Tour of Estonia,2.1,Men,EST,0,Future Race
259,2023_7767,2023,25.05-28.05,2023/05/25,2023/05/28,7767,Tour de la Mirabelle,2.2,Men,FRA,0,Future Race
260,2023_9912,2023,25.05-28.05,2023/05/25,2023/05/28,9912,Tour de Feminin,2.2,Women,CZE,0,Future Race
261,2023_343,2023,25.05-28.05,2023/05/25,2023/05/28,343,Boucles de la Mayenne,2.Pro,Men,FRA,0,Future Race
262,2023_20369,2023,26.05,2023/05/26,2023/05/26,20369,Grand Prix du Prince Héritier Moulay El Hassan,1.2,Men,MAR,0,Future Race
263,2023_4008,2023,26.05-28.05,2023/05/26,2023/05/28,4008,GP Beiras e Serra da Estrela,2.2,Men,POR,0,Future Race
264,2023_71,2023,26.05-29.05,2023/05/26,2023/05/29,71,Tour of Norway,2.Pro,Men,NOR,0,Future Race
265,2023_9054,2023,26.05-28.05,2023/05/26,2023/05/28,9054,RideLondon Classique,2.WWT,Women,GBR,0,Future Race
266,2023_3838,2023,27.05,2023/05/27,2023/05/27,3838,Grote Prijs Marcel Kint,1.1,Men,BEL,0,Future Race
267,2023_734,2023,27.05,2023/05/27,2023/05/27,734,2 Giorni Marchigiana - GP Santa Rita,1.2,Men,ITA,0,Future Race
268,2023_20370,2023,27.05,2023/05/27,2023/05/27,20370,Grand Prix du Trône,1.2,Men,MAR,0,Future Race
269,2023_16508,2023,27.05,2023/05/27,2023/05/27,16508,Ladies Tour of Estonia,1.2,Women,EST,0,Future Race
270,2023_13594,2023,28.05,2023/05/28,2023/05/28,13594,GP Ciudad de Eibar,1.1,Women,ESP,0,Future Race
271,2023_20371,2023,28.05,2023/05/28,2023/05/28,20371,Grand Prix de la Famille Royale,1.2,Men,MAR,0,Future Race
272,2023_408,2023,28.05,2023/05/28,2023/05/28,408,Trofeo Castelfidardo,1.2,Men,ITA,0,Future Race
273,2023_503,2023,28.05-30.05,2023/05/28,2023/05/30,503,Jelajah Malaysia,2.2,Men,MAS,0,Future Race
274,2023_437,2023,29.05,2023/05/29,2023/05/29,437,Ronde van Limburg,1.1,Men,BEL,0,Future Race
275,2023_285,2023,29.05,2023/05/29,2023/05/29,285,Paris-Troyes,1.2,Men,FRA,0,Future Race
276,2023_17077,2023,29.05,2023/05/29,2023/05/29,17077,GP Mazda Schelkens,1.2,Women,BEL,0,Future Race
277,2023_13188,2023,30.05,2023/05/30,2023/05/30,13188,Mercan Tour Classic Alpes-Maritimes,1.1,Men,FRA,0,Future Race
278,2023_16502,2023,31.05-04.06,2023/05/31,2023/06/04,16502,Vuelta a Andalucia Ruta Del Sol,2.1,Women,ESP,0,Future Race
279,2023_16502,2023,31.05-04.06,2023/05/31,2023/06/04,16502,Vuelta a Andalucia Ruta Del Sol,2.1,Women,ESP,0,Future Race
280,2023_552,2023,01.06-04.06,2023/06/01,2023/06/04,552,Oberösterreich Rundfahrt,2.2,Men,AUT,0,Future Race
281,2023_345,2023,01.06-04.06,2023/06/01,2023/06/04,345,Ronde de l'Oise,2.2,Men,FRA,0,Future Race
282,2023_386,2023,01.06-04.06,2023/06/01,2023/06/04,386,Tour of Malopolska,2.2,Men,POL,0,Future Race
283,2023_149,2023,02.06,2023/06/02,2023/06/02,149,Giro dell'Appennino,1.1,Men,ITA,0,Future Race
284,2023_18794,2023,02.06,2023/06/02,2023/06/02,18794,Kozagawa Road Race,1.2,Men,JPN,0,Future Race
285,2023_546,2023,02.06,2023/06/02,2023/06/02,546,Trofeo Alcide DeGasperi,1.2,Men,ITA,0,Future Race
286,2023_349,2023,03.06,2023/06/03,2023/06/03,349,Heistse Pijl,1.1,Men,BEL,0,Future Race
287,2023_502,2023,03.06-04.06,2023/06/03,2023/06/04,502,Tour de Kumano,2.2,Men,JPN,0,Future Race
288,2023_15071,2023,03.06-04.06,2023/06/03,2023/06/04,15071,Belgrade GP Woman Tour,2.2,Women,SBA,0,Future Race
289,2023_16509,2023,04.06,2023/06/04,2023/06/04,16509,Alpes Gresivaudan Classic,1.1,Women,FRA,0,Future Race
290,2023_9811,2023,04.06,2023/06/04,2023/06/04,9811,Dwars door de Westhoek,1.1,Women,BEL,0,Future Race
291,2023_351,2023,04.06,2023/06/04,2023/06/04,351,Memorial van Coningsloo,1.2,Men,BEL,0,Future Race
