"","season_race","season","race","stage","distance","event_data","event","rider_name","event_rank","kom_points","intermediate_points"
"1","2021 Tour De France","2021","Tour De France","1",8.6,"KOM Sprint (4) Côte de Trébéolin (8.6 km)","KOM Sprint Cat4"," Victor Campenaerts","1","1","0"
"2","2021 Tour De France","2021","Tour De France","1",27.2,"KOM Sprint (4) Côte de Rosnoën (27.2 km)","KOM Sprint Cat4"," Danny van Poppel","1","1","0"
"3","2021 Tour De France","2021","Tour De France","1",61.5,"KOM Sprint (3) Côte de Locronan (61.5 km)","KOM Sprint Cat3"," Anthony Perez","1","2","0"
"4","2021 Tour De France","2021","Tour De France","1",61.5,"KOM Sprint (3) Côte de Locronan (61.5 km)","KOM Sprint Cat3"," Ide Schelling","2","1","0"
"5","2021 Tour De France","2021","Tour De France","1",115,"KOM Sprint (4) Côte de Stang ar Garront (115 km)","KOM Sprint Cat4"," Ide Schelling","1","1","0"
"6","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Ide Schelling","1","0","20"
"7","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Caleb Ewan","2","0","17"
"8","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Peter Sagan","3","0","15"
"9","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Michael Matthews","4","0","13"
"10","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Bryan Coquard","5","0","11"
"11","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Arnaud Démare","6","0","10"
"12","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Nacer Bouhanni","7","0","9"
"13","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Sonny Colbrelli","8","0","8"
"14","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Jasper De Buyst","9","0","7"
"15","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Mark Cavendish","10","0","6"
"16","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Luka Mezgec","11","0","5"
"17","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Daniel Oss","12","0","4"
"18","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Tony Martin","13","0","3"
"19","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Robert Gesink","14","0","2"
"20","2021 Tour De France","2021","Tour De France","1",135.1,"Sprint | Brasparts (135.1 km)","Intermediate Sprint"," Mads Pedersen","15","0","1"
"21","2021 Tour De France","2021","Tour De France","1",150.7,"KOM Sprint (4) Côte de Saint-Rivoal (150.7 km)","KOM Sprint Cat4"," Ide Schelling","1","1","0"
"22","2021 Tour De France","2021","Tour De France","1",197.8,"KOM Sprint (3) Côte de la Fosse aux Loups (197.8 km)","KOM Sprint Cat3"," Julian Alaphilippe","1","2","0"
"23","2021 Tour De France","2021","Tour De France","1",197.8,"KOM Sprint (3) Côte de la Fosse aux Loups (197.8 km)","KOM Sprint Cat3"," Michael Matthews","2","1","0"
"24","2021 Tour De France","2021","Tour De France","2",72.8,"KOM Sprint (4) Côte de Sainte-Barbe (72.8 km)","KOM Sprint Cat4"," Anthony Perez","1","1","0"
"25","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Edward Theuns","1","0","20"
"26","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Jonas Koch","2","0","17"
"27","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Jérémy Cabot","3","0","15"
"28","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Anthony Perez","4","0","13"
"29","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Ide Schelling","5","0","11"
"30","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Simon Clarke","6","0","10"
"31","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Caleb Ewan","7","0","9"
"32","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Mark Cavendish","8","0","8"
"33","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Jasper Philipsen","9","0","7"
"34","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Michael Mørkøv","10","0","6"
"35","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Arnaud Démare","11","0","5"
"36","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Nacer Bouhanni","12","0","4"
"37","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Peter Sagan","13","0","3"
"38","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Michael Matthews","14","0","2"
"39","2021 Tour De France","2021","Tour De France","2",85,"Sprint | Plouha (85 km)","Intermediate Sprint"," Bryan Coquard","15","0","1"
"40","2021 Tour De France","2021","Tour De France","2",103.2,"KOM Sprint (4) Côte de Pordic (103.2 km)","KOM Sprint Cat4"," Ide Schelling","1","1","0"
"41","2021 Tour De France","2021","Tour De France","2",115.2,"KOM Sprint (4) Côte de Saint-Brieuc (115.2 km)","KOM Sprint Cat4"," Edward Theuns","1","1","0"
"42","2021 Tour De France","2021","Tour De France","2",165.2,"KOM Sprint (4) Côte du village de Mûr-de-Bretagne (165.2 km)","KOM Sprint Cat4"," Edward Theuns","1","1","0"
"43","2021 Tour De France","2021","Tour De France","2",168.2,"KOM Sprint (3) Mûr-de-Bretagne (168.2 km)","KOM Sprint Cat3"," Mathieu van der Poel","1","2","0"
"44","2021 Tour De France","2021","Tour De France","2",168.2,"KOM Sprint (3) Mûr-de-Bretagne (168.2 km)","KOM Sprint Cat3"," Tadej Pogačar","2","1","0"
"45","2021 Tour De France","2021","Tour De France","2",168.2,"KOM Sprint (3) Mûr-de-Bretagne (168.2 km)","KOM Sprint Cat3"," Primož Roglič","3","0","0"
"46","2021 Tour De France","2021","Tour De France","2",183.5,"KOM Sprint (3) Mûr-de-Bretagne (183.5 km)","KOM Sprint Cat3"," Mathieu van der Poel","1","2","0"
"47","2021 Tour De France","2021","Tour De France","2",183.5,"KOM Sprint (3) Mûr-de-Bretagne (183.5 km)","KOM Sprint Cat3"," Tadej Pogačar","2","1","0"
"48","2021 Tour De France","2021","Tour De France","3",91.1,"KOM Sprint (4) Côte de Cadoudal (91.1 km)","KOM Sprint Cat4"," Ide Schelling","1","1","0"
"49","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Cyril Barthe","1","0","20"
"50","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Maxime Chevalier","2","0","17"
"51","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Michael Schär","3","0","15"
"52","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Jelle Wallays","4","0","13"
"53","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Caleb Ewan","5","0","11"
"54","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Mark Cavendish","6","0","10"
"55","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Michael Mørkøv","7","0","9"
"56","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Sonny Colbrelli","8","0","8"
"57","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Arnaud Démare","9","0","7"
"58","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Peter Sagan","10","0","6"
"59","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Michael Matthews","11","0","5"
"60","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Jasper Philipsen","12","0","4"
"61","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Jacopo Guarnieri","13","0","3"
"62","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Marco Haller","14","0","2"
"63","2021 Tour De France","2021","Tour De France","3",118.3,"Sprint | Pleugriffet (118.3 km)","Intermediate Sprint"," Daniel Oss","15","0","1"
"64","2021 Tour De France","2021","Tour De France","3",148.6,"KOM Sprint (4) Côte de Pluméliau (148.6 km)","KOM Sprint Cat4"," Jelle Wallays","1","1","0"
"65","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Brent Van Moer","1","0","20"
"66","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Pierre-Luc Périchon","2","0","17"
"67","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Mark Cavendish","3","0","15"
"68","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Michael Mørkøv","4","0","13"
"69","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Nacer Bouhanni","5","0","11"
"70","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Michael Matthews","6","0","10"
"71","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," André Greipel","7","0","9"
"72","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Peter Sagan","8","0","8"
"73","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Sonny Colbrelli","9","0","7"
"74","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Bryan Coquard","10","0","6"
"75","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Arnaud Démare","11","0","5"
"76","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Connor Swift","12","0","4"
"77","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Luka Mezgec","13","0","3"
"78","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Julian Alaphilippe","14","0","2"
"79","2021 Tour De France","2021","Tour De France","4",114.4,"Sprint | Vitré (114.4 km)","Intermediate Sprint"," Jacopo Guarnieri","15","0","1"
"80","2021 Tour De France","2021","Tour De France","6",72.6,"KOM Sprint (4) Côte de Saint-Aignan (72.6 km)","KOM Sprint Cat4"," Greg Van Avermaet","1","1","0"
"81","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Greg Van Avermaet","1","0","20"
"82","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Roger Kluge","2","0","17"
"83","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Sonny Colbrelli","3","0","15"
"84","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Michael Mørkøv","4","0","13"
"85","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Jasper Philipsen","5","0","11"
"86","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Michael Matthews","6","0","10"
"87","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Mark Cavendish","7","0","9"
"88","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Peter Sagan","8","0","8"
"89","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Danny van Poppel","9","0","7"
"90","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Arnaud Démare","10","0","6"
"91","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Nacer Bouhanni","11","0","5"
"92","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Daniel Oss","12","0","4"
"93","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Jonas Rickaert","13","0","3"
"94","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Connor Swift","14","0","2"
"95","2021 Tour De France","2021","Tour De France","6",104.3,"Sprint | Luçay-le-Mâle (104.3 km)","Intermediate Sprint"," Jacopo Guarnieri","15","0","1"
"96","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Mark Cavendish","1","0","20"
"97","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Boy van Poppel","2","0","17"
"98","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Matej Mohorič","3","0","15"
"99","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Kasper Asgreen","4","0","13"
"100","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Wout van Aert","5","0","11"
"101","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Xandro Meurisse","6","0","10"
"102","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Philippe Gilbert","7","0","9"
"103","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Toms Skujiņš","8","0","8"
"104","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Victor Campenaerts","9","0","7"
"105","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Mathieu van der Poel","10","0","6"
"106","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Jan Bakelants","11","0","5"
"107","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Iván García Cortina","12","0","4"
"108","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Brent Van Moer","13","0","3"
"109","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Michael Schär","14","0","2"
"110","2021 Tour De France","2021","Tour De France","7",115.4,"Sprint | Saint-Benin-d'Azy (115.4 km)","Intermediate Sprint"," Vincenzo Nibali","15","0","1"
"111","2021 Tour De France","2021","Tour De France","7",161.5,"KOM Sprint (3) Côte de Château-Chinon (161.5 km)","KOM Sprint Cat3"," Matej Mohorič","1","2","0"
"112","2021 Tour De France","2021","Tour De France","7",161.5,"KOM Sprint (3) Côte de Château-Chinon (161.5 km)","KOM Sprint Cat3"," Brent Van Moer","2","1","0"
"113","2021 Tour De France","2021","Tour De France","7",178.2,"KOM Sprint (4) Côte de Glux-en-Glenne (178.2 km)","KOM Sprint Cat4"," Matej Mohorič","1","1","0"
"114","2021 Tour De France","2021","Tour De France","7",213.8,"KOM Sprint (3) Côte de la Croix de la Libération (213.8 km)","KOM Sprint Cat3"," Matej Mohorič","1","2","0"
"115","2021 Tour De France","2021","Tour De France","7",213.8,"KOM Sprint (3) Côte de la Croix de la Libération (213.8 km)","KOM Sprint Cat3"," Jasper Stuyven","2","1","0"
"116","2021 Tour De France","2021","Tour De France","7",231,"KOM Sprint (2) Signal d'Uchon (231 km)","KOM Sprint Cat2"," Matej Mohorič","1","5","0"
"117","2021 Tour De France","2021","Tour De France","7",231,"KOM Sprint (2) Signal d'Uchon (231 km)","KOM Sprint Cat2"," Jasper Stuyven","2","3","0"
"118","2021 Tour De France","2021","Tour De France","7",231,"KOM Sprint (2) Signal d'Uchon (231 km)","KOM Sprint Cat2"," Brent Van Moer","3","2","0"
"119","2021 Tour De France","2021","Tour De France","7",231,"KOM Sprint (2) Signal d'Uchon (231 km)","KOM Sprint Cat2"," Patrick Konrad","4","1","0"
"120","2021 Tour De France","2021","Tour De France","7",241.2,"KOM Sprint (4) Côte de la Gourloye (241.2 km)","KOM Sprint Cat4"," Matej Mohorič","1","1","0"
"121","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Sonny Colbrelli","1","0","20"
"122","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Michael Matthews","2","0","17"
"123","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Fred Wright","3","0","15"
"124","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Luka Mezgec","4","0","13"
"125","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Matej Mohorič","5","0","11"
"126","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Kasper Asgreen","6","0","10"
"127","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Alex Aranburu","7","0","9"
"128","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Søren Kragh Andersen","8","0","8"
"129","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Julien Bernard","9","0","7"
"130","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Pierre-Luc Périchon","10","0","6"
"131","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Connor Swift","11","0","5"
"132","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Tao Geoghegan Hart","12","0","4"
"133","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Davide Formolo","13","0","3"
"134","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Tadej Pogačar","14","0","2"
"135","2021 Tour De France","2021","Tour De France","8",44.8,"Sprint | Frangy (44.8 km)","Intermediate Sprint"," Brandon McNulty","15","0","1"
"136","2021 Tour De France","2021","Tour De France","8",61.9,"KOM Sprint (3) Côte de Copponex (61.9 km)","KOM Sprint Cat3"," Wout Poels","1","2","0"
"137","2021 Tour De France","2021","Tour De France","8",61.9,"KOM Sprint (3) Côte de Copponex (61.9 km)","KOM Sprint Cat3"," Kenny Elissonde","2","1","0"
"138","2021 Tour De France","2021","Tour De France","8",72.5,"KOM Sprint (4) Côte de Menthonnex-en-Bornes (72.5 km)","KOM Sprint Cat4"," Wout Poels","1","1","0"
"139","2021 Tour De France","2021","Tour De France","8",104,"KOM Sprint (1) Côte de Mont-Saxonnex (104 km)","KOM Sprint Cat1"," Wout Poels","1","10","0"
"140","2021 Tour De France","2021","Tour De France","8",104,"KOM Sprint (1) Côte de Mont-Saxonnex (104 km)","KOM Sprint Cat1"," Nairo Quintana","2","8","0"
"141","2021 Tour De France","2021","Tour De France","8",104,"KOM Sprint (1) Côte de Mont-Saxonnex (104 km)","KOM Sprint Cat1"," Michael Woods","3","6","0"
"142","2021 Tour De France","2021","Tour De France","8",104,"KOM Sprint (1) Côte de Mont-Saxonnex (104 km)","KOM Sprint Cat1"," Sepp Kuss","4","4","0"
"143","2021 Tour De France","2021","Tour De France","8",104,"KOM Sprint (1) Côte de Mont-Saxonnex (104 km)","KOM Sprint Cat1"," Guillaume Martin","5","2","0"
"144","2021 Tour De France","2021","Tour De France","8",104,"KOM Sprint (1) Côte de Mont-Saxonnex (104 km)","KOM Sprint Cat1"," Kenny Elissonde","6","1","0"
"145","2021 Tour De France","2021","Tour De France","8",122.1,"KOM Sprint (1) Col de Romme (122.1 km)","KOM Sprint Cat1"," Michael Woods","1","10","0"
"146","2021 Tour De France","2021","Tour De France","8",122.1,"KOM Sprint (1) Col de Romme (122.1 km)","KOM Sprint Cat1"," Wout Poels","2","8","0"
"147","2021 Tour De France","2021","Tour De France","8",122.1,"KOM Sprint (1) Col de Romme (122.1 km)","KOM Sprint Cat1"," Nairo Quintana","3","6","0"
"148","2021 Tour De France","2021","Tour De France","8",122.1,"KOM Sprint (1) Col de Romme (122.1 km)","KOM Sprint Cat1"," Guillaume Martin","4","4","0"
"149","2021 Tour De France","2021","Tour De France","8",122.1,"KOM Sprint (1) Col de Romme (122.1 km)","KOM Sprint Cat1"," Simon Yates","5","2","0"
"150","2021 Tour De France","2021","Tour De France","8",122.1,"KOM Sprint (1) Col de Romme (122.1 km)","KOM Sprint Cat1"," Mattia Cattaneo","6","1","0"
"151","2021 Tour De France","2021","Tour De France","8",136.1,"KOM Sprint (1) Col de la Colombière (136.1 km)","KOM Sprint Cat1"," Dylan Teuns","1","10","0"
"152","2021 Tour De France","2021","Tour De France","8",136.1,"KOM Sprint (1) Col de la Colombière (136.1 km)","KOM Sprint Cat1"," Tadej Pogačar","2","8","0"
"153","2021 Tour De France","2021","Tour De France","8",136.1,"KOM Sprint (1) Col de la Colombière (136.1 km)","KOM Sprint Cat1"," Michael Woods","3","6","0"
"154","2021 Tour De France","2021","Tour De France","8",136.1,"KOM Sprint (1) Col de la Colombière (136.1 km)","KOM Sprint Cat1"," Ion Izagirre","4","4","0"
"155","2021 Tour De France","2021","Tour De France","8",136.1,"KOM Sprint (1) Col de la Colombière (136.1 km)","KOM Sprint Cat1"," Wout Poels","5","2","0"
"156","2021 Tour De France","2021","Tour De France","8",136.1,"KOM Sprint (1) Col de la Colombière (136.1 km)","KOM Sprint Cat1"," Simon Yates","6","1","0"
"157","2021 Tour De France","2021","Tour De France","9",19.6,"KOM Sprint (2) Côte de Domancy (19.6 km)","KOM Sprint Cat2"," Pierre Latour","1","5","0"
"158","2021 Tour De France","2021","Tour De France","9",19.6,"KOM Sprint (2) Côte de Domancy (19.6 km)","KOM Sprint Cat2"," Harry Sweeny","2","3","0"
"159","2021 Tour De France","2021","Tour De France","9",19.6,"KOM Sprint (2) Côte de Domancy (19.6 km)","KOM Sprint Cat2"," Nairo Quintana","3","2","0"
"160","2021 Tour De France","2021","Tour De France","9",19.6,"KOM Sprint (2) Côte de Domancy (19.6 km)","KOM Sprint Cat2"," Michael Woods","4","1","0"
"161","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Sonny Colbrelli","1","0","20"
"162","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Michael Matthews","2","0","17"
"163","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Julian Alaphilippe","3","0","15"
"164","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Dylan Teuns","4","0","13"
"165","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Stefan Küng","5","0","11"
"166","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Christopher Juul-Jensen","6","0","10"
"167","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Bauke Mollema","7","0","9"
"168","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Anthony Perez","8","0","8"
"169","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Lucas Hamilton","9","0","7"
"170","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Sergio Higuita","10","0","6"
"171","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Wout Poels","11","0","5"
"172","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Ruben Guerreiro","12","0","4"
"173","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Élie Gesbert","13","0","3"
"174","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Patrick Konrad","14","0","2"
"175","2021 Tour De France","2021","Tour De France","9",32.7,"Sprint | Praz-sur-Arly (32.7 km)","Intermediate Sprint"," Nairo Quintana","15","0","1"
"176","2021 Tour De France","2021","Tour De France","9",49.4,"KOM Sprint (1) Col des Saisies (49.4 km)","KOM Sprint Cat1"," Wout Poels","1","10","0"
"177","2021 Tour De France","2021","Tour De France","9",49.4,"KOM Sprint (1) Col des Saisies (49.4 km)","KOM Sprint Cat1"," Nairo Quintana","2","8","0"
"178","2021 Tour De France","2021","Tour De France","9",49.4,"KOM Sprint (1) Col des Saisies (49.4 km)","KOM Sprint Cat1"," Michael Woods","3","6","0"
